"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"fake_news-not_fake-only_over"
"10/28/2021 22:42:23:983 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","decay-aw","alpha-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"393","0.7","0.2","0.3","0","0","0","1000","2007"
"395","0.9","0.2","0.3","0","0","0","1000","2554"
"408","0","0.4","0.3","0","0","0","1000","1407"
"390","0.4","0.2","0.3","0","0","0","1000","1817"
"394","0.8","0.2","0.3","0","0","0","1000","2110"
"401","0.4","0.3","0.3","0","0","0","1000","1715"
"402","0.5","0.3","0.3","0","0","0","1000","1937"
"396","1","0.2","0.3","0","0","0","1000","2881"
"398","0.1","0.3","0.3","0","0","0","1000","1596"
"399","0.2","0.3","0.3","0","0","0","1000","1498"
"412","0.4","0.4","0.3","0","0","0","1000","1972"
"414","0.6","0.4","0.3","0","0","0","1000","2354"
"403","0.6","0.3","0.3","0","0","0","1000","2378"
"407","1","0.3","0.3","0","0","0","1000","4022"
"400","0.3","0.3","0.3","0","0","0","1000","1857"
"411","0.3","0.4","0.3","0","0","0","1000","1878"
"406","0.9","0.3","0.3","0","0","0","1000","3038"
"409","0.1","0.4","0.3","0","0","0","1000","1704"
"404","0.7","0.3","0.3","0","0","0","1000","2515"
"410","0.2","0.4","0.3","0","0","0","1000","1732"
"416","0.8","0.4","0.3","0","0","0","1000","3186"
"415","0.7","0.4","0.3","0","0","0","1000","2621"
"413","0.5","0.4","0.3","0","0","0","1000","2141"
"420","0.1","0.5","0.3","0","0","0","1000","1723"
"424","0.5","0.5","0.3","0","0","0","1000","2226"
"430","0","0.6","0.3","0","0","0","1000","1616"
"405","0.8","0.3","0.3","0","0","0","1000","2641"
"423","0.4","0.5","0.3","0","0","0","1000","1967"
"419","0","0.5","0.3","0","0","0","1000","1652"
"441","0","0.7","0.3","0","0","0","1000","1577"
"422","0.3","0.5","0.3","0","0","0","1000","2045"
"425","0.6","0.5","0.3","0","0","0","1000","2677"
"421","0.2","0.5","0.3","0","0","0","1000","1673"
"418","1","0.4","0.3","0","0","0","1000","5392"
"434","0.4","0.6","0.3","0","0","0","1000","2093"
"426","0.7","0.5","0.3","0","0","0","1000","3140"
"431","0.1","0.6","0.3","0","0","0","1000","1641"
"417","0.9","0.4","0.3","0","0","0","1000","3911"
"432","0.2","0.6","0.3","0","0","0","1000","1739"
"427","0.8","0.5","0.3","0","0","0","1000","4207"
"435","0.5","0.6","0.3","0","0","0","1000","2469"
"442","0.1","0.7","0.3","0","0","0","1000","1721"
"433","0.3","0.6","0.3","0","0","0","1000","2116"
"437","0.7","0.6","0.3","0","0","0","1000","3698"
"429","1","0.5","0.3","0","0","0","1000","9920"
"443","0.2","0.7","0.3","0","0","0","1000","1951"
"444","0.3","0.7","0.3","0","0","0","1000","1942"
"428","0.9","0.5","0.3","0","0","0","1000","5002"
"452","0","0.8","0.3","0","0","0","1000","1452"
"445","0.4","0.7","0.3","0","0","0","1000","2240"
"436","0.6","0.6","0.3","0","0","0","1000","2935"
"446","0.5","0.7","0.3","0","0","0","1000","2415"
"453","0.1","0.8","0.3","0","0","0","1000","1660"
"454","0.2","0.8","0.3","0","0","0","1000","2047"
"463","0","0.9","0.3","0","0","0","1000","1588"
"438","0.8","0.6","0.3","0","0","0","1000","4826"
"447","0.6","0.7","0.3","0","0","0","1000","3291"
"440","1","0.6","0.3","0","0","0","1000","9979"
"455","0.3","0.8","0.3","0","0","0","1000","2085"
"465","0.2","0.9","0.3","0","0","0","1000","1893"
"449","0.8","0.7","0.3","0","0","0","1000","6318"
"458","0.6","0.8","0.3","0","0","0","1000","3761"
"439","0.9","0.6","0.3","0","0","0","1000","7494"
"448","0.7","0.7","0.3","0","0","0","1000","4155"
"456","0.4","0.8","0.3","0","0","0","1000","2434"
"451","1","0.7","0.3","0","0","0","1000","9965"
"459","0.7","0.8","0.3","0","0","0","1000","4846"
"457","0.5","0.8","0.3","0","0","0","1000","3070"
"466","0.3","0.9","0.3","0","0","0","1000","2064"
"450","0.9","0.7","0.3","0","0","0","1000","9494"
"464","0.1","0.9","0.3","0","0","0","1000","1848"
"467","0.4","0.9","0.3","0","0","0","1000","2497"
"460","0.8","0.8","0.3","0","0","0","1000","7548"
"468","0.5","0.9","0.3","0","0","0","1000","2929"
"462","1","0.8","0.3","0","0","0","1000","9985"
"477","0.3","1","0.3","0","0","0","1000","2258"
"470","0.7","0.9","0.3","0","0","0","1000","5675"
"474","0","1","0.3","0","0","0","1000","1707"
"476","0.2","1","0.3","0","0","0","1000","2047"
"469","0.6","0.9","0.3","0","0","0","1000","4105"
"478","0.4","1","0.3","0","0","0","1000","2680"
"475","0.1","1","0.3","0","0","0","1000","1655"
"461","0.9","0.8","0.3","0","0","0","1000","9949"
"485","0","0","0.4","0","0","0","1000","1804"
"486","0.1","0","0.4","0","0","0","1000","1680"
"489","0.4","0","0.4","0","0","0","1000","1627"
"487","0.2","0","0.4","0","0","0","1000","1804"
"490","0.5","0","0.4","0","0","0","1000","1586"
"493","0.8","0","0.4","0","0","0","1000","1509"
