"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_aw-only_last_state"
"11/19/2021 12:18:43:228 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"301","1","0.3","0.5","1","0.2","1","1000","1294"
"272","1","0.7","0.2","1","0.2","1","1000","2272"
"275","1","1","0.2","1","0.2","1","1000","9990"
"282","1","0.6","0.3","1","0.2","1","1000","2216"
"264","1","1","0.1","1","0.2","1","1000","9988"
"287","1","0","0.4","1","0.2","1","1000","998"
"288","1","0.1","0.4","1","0.2","1","1000","1077"
"303","1","0.5","0.5","1","0.2","1","1000","2192"
"289","1","0.2","0.4","1","0.2","1","1000","1232"
"274","1","0.9","0.2","1","0.2","1","1000","6361"
"291","1","0.4","0.4","1","0.2","1","1000","1615"
"298","1","0","0.5","1","0.2","1","1000","946"
"283","1","0.7","0.3","1","0.2","1","1000","2756"
"300","1","0.2","0.5","1","0.2","1","1000","1245"
"295","1","0.8","0.4","1","0.2","1","1000","5749"
"290","1","0.3","0.4","1","0.2","1","1000","1371"
"284","1","0.8","0.3","1","0.2","1","1000","4534"
"293","1","0.6","0.4","1","0.2","1","1000","2548"
"299","1","0.1","0.5","1","0.2","1","1000","1107"
"294","1","0.7","0.4","1","0.2","1","1000","3522"
"304","1","0.6","0.5","1","0.2","1","1000","3125"
"286","1","1","0.3","1","0.2","1","1000","9986"
"302","1","0.4","0.5","1","0.2","1","1000","1845"
"285","1","0.9","0.3","1","0.2","1","1000","9717"
"297","1","1","0.4","1","0.2","1","1000","9975"
"312","1","0.3","0.6","1","0.2","1","1000","1625"
"309","1","0","0.6","1","0.2","1","1000","977"
"310","1","0.1","0.6","1","0.2","1","1000","991"
"296","1","0.9","0.4","1","0.2","1","1000","9819"
"311","1","0.2","0.6","1","0.2","1","1000","1503"
"305","1","0.7","0.5","1","0.2","1","1000","4022"
"321","1","0.1","0.7","1","0.2","1","1000","1114"
"313","1","0.4","0.6","1","0.2","1","1000","2133"
"314","1","0.5","0.6","1","0.2","1","1000","2618"
"306","1","0.8","0.5","1","0.2","1","1000","6561"
"320","1","0","0.7","1","0.2","1","1000","929"
"331","1","0","0.8","1","0.2","1","1000","901"
"308","1","1","0.5","1","0.2","1","1000","9989"
"307","1","0.9","0.5","1","0.2","1","1000","9938"
"315","1","0.6","0.6","1","0.2","1","1000","3320"
"322","1","0.2","0.7","1","0.2","1","1000","1444"
"323","1","0.3","0.7","1","0.2","1","1000","1640"
"344","1","0.2","0.9","1","0.2","1","1000","1507"
"324","1","0.4","0.7","1","0.2","1","1000","2205"
"316","1","0.7","0.6","1","0.2","1","1000","5089"
"325","1","0.5","0.7","1","0.2","1","1000","3039"
"332","1","0.1","0.8","1","0.2","1","1000","1158"
"326","1","0.6","0.7","1","0.2","1","1000","4195"
"334","1","0.3","0.8","1","0.2","1","1000","1790"
"317","1","0.8","0.6","1","0.2","1","1000","8038"
"319","1","1","0.6","1","0.2","1","1000","9983"
"327","1","0.7","0.7","1","0.2","1","1000","5449"
"333","1","0.2","0.8","1","0.2","1","1000","1431"
"318","1","0.9","0.6","1","0.2","1","1000","9907"
"335","1","0.4","0.8","1","0.2","1","1000","2318"
"343","1","0.1","0.9","1","0.2","1","1000","1133"
"336","1","0.5","0.8","1","0.2","1","1000","3359"
"329","1","0.9","0.7","1","0.2","1","1000","9971"
"346","1","0.4","0.9","1","0.2","1","1000","2547"
"342","1","0","0.9","1","0.2","1","1000","890"
"330","1","1","0.7","1","0.2","1","1000","9981"
"328","1","0.8","0.7","1","0.2","1","1000","9755"
"345","1","0.3","0.9","1","0.2","1","1000","2148"
"337","1","0.6","0.8","1","0.2","1","1000","4634"
"339","1","0.8","0.8","1","0.2","1","1000","9947"
"347","1","0.5","0.9","1","0.2","1","1000","3588"
"338","1","0.7","0.8","1","0.2","1","1000","6794"
"353","1","0","1","1","0.2","1","1000","1048"
"340","1","0.9","0.8","1","0.2","1","1000","9933"
"354","1","0.1","1","1","0.2","1","1000","1150"
"375","1","0","0.1","1","0.3","1","1000","777"
"355","1","0.2","1","1","0.2","1","1000","1605"
"356","1","0.3","1","1","0.2","1","1000","2039"
"341","1","1","0.8","1","0.2","1","1000","9960"
"348","1","0.6","0.9","1","0.2","1","1000","4489"
"357","1","0.4","1","1","0.2","1","1000","2683"
"350","1","0.8","0.9","1","0.2","1","1000","9888"
"364","1","0","0","1","0.3","1","1000","750"
"349","1","0.7","0.9","1","0.2","1","1000","7398"
"359","1","0.6","1","1","0.2","1","1000","6144"
"358","1","0.5","1","1","0.2","1","1000","3918"
"366","1","0.2","0","1","0.3","1","1000","857"
"351","1","0.9","0.9","1","0.2","1","1000","9879"
"368","1","0.4","0","1","0.3","1","1000","807"
"360","1","0.7","1","1","0.2","1","1000","9929"
"352","1","1","0.9","1","0.2","1","1000","9990"
"365","1","0.1","0","1","0.3","1","1000","724"
"371","1","0.7","0","1","0.3","1","1000","765"
"386","1","0","0.2","1","0.3","1","1000","797"
"367","1","0.3","0","1","0.3","1","1000","868"
"370","1","0.6","0","1","0.3","1","1000","859"
"369","1","0.5","0","1","0.3","1","1000","720"
"377","1","0.2","0.1","1","0.3","1","1000","811"
"372","1","0.8","0","1","0.3","1","1000","841"
"373","1","0.9","0","1","0.3","1","1000","1093"
"361","1","0.8","1","1","0.2","1","1000","9896"
"363","1","1","1","1","0.2","1","1000","9989"
